,prob
0_MADCAM1_ITGA4_2,0.61887854
0_MADCAM1_ITGA4_3,0.6940045
0_MADCAM1_ITGA4_4,0.6791739
0_MADCAM1_ITGA4_5,0.6976077
0_MADCAM1_ITGA4_6,0.61603594
0_MADCAM1_ITGB7_0,0.5307087
0_MADCAM1_ITGB7_1,0.52304333
0_MADCAM1_ITGB7_2,0.5230439
0_MADCAM1_ITGB7_3,0.5253955
0_MADCAM1_ITGB7_4,0.56121373
0_MADCAM1_ITGB7_5,0.49487305
0_MADCAM1_ITGB7_6,0.51950645
0_TCN2_CNR1_0,0.58651024
0_TCN2_CNR1_1,0.5557039
0_TCN2_CNR1_2,0.55570453
0_TCN2_CNR1_3,0.5759585
0_TCN2_CNR1_4,0.5948818
0_TCN2_CNR1_5,0.57709146
0_TCN2_CNR1_6,0.5522528
0_LGALS1_PTPRC_0,0.68330616
0_LGALS1_PTPRC_1,0.6592725
0_LGALS1_PTPRC_2,0.65927434
0_LGALS1_PTPRC_3,0.7058081
0_LGALS1_PTPRC_4,0.69028944
0_LGALS1_PTPRC_5,0.6608259
0_LGALS1_PTPRC_6,0.6188734
0_NID2_COL13A1_0,0.66843826
0_NID2_COL13A1_1,0.5933591
0_NID2_COL13A1_2,0.5933653
0_NID2_COL13A1_3,0.6659908
0_NID2_COL13A1_4,0.6561239
0_NID2_COL13A1_5,0.63015455
0_NID2_COL13A1_6,0.56161636
0_RSPO4_LGR4_0,0.510794
0_RSPO4_LGR4_1,0.50967073
0_RSPO4_LGR4_2,0.5096713
0_RSPO4_LGR4_3,0.5053707
0_RSPO4_LGR4_4,0.54700094
0_RSPO4_LGR4_5,0.46904743
0_RSPO4_LGR4_6,0.5061584
0_RSPO4_LGR5_0,0.5106411
0_RSPO4_LGR5_1,0.5096074
0_RSPO4_LGR5_2,0.50960785
0_RSPO4_LGR5_3,0.505213
0_RSPO4_LGR5_4,0.5469356
0_RSPO4_LGR5_5,0.46880516
0_RSPO4_LGR5_6,0.5060952
0_OXT_AVPR1A_0,0.5181696
0_OXT_AVPR1A_1,0.5149178
0_OXT_AVPR1A_2,0.5149183
0_OXT_AVPR1A_3,0.5127923
0_OXT_AVPR1A_4,0.5528793
0_OXT_AVPR1A_5,0.4794179
0_OXT_AVPR1A_6,0.51139456
0_OXT_OXTR_0,0.5160799
0_OXT_OXTR_1,0.512848
0_OXT_OXTR_2,0.51284856
0_OXT_OXTR_3,0.5106983
0_OXT_OXTR_4,0.55049497
0_OXT_OXTR_5,0.47711328
0_OXT_OXTR_6,0.5093281
0_TIMP1_FGFR2_0,0.73471326
0_TIMP1_FGFR2_1,0.6931072
0_TIMP1_FGFR2_2,0.693113
0_TIMP1_FGFR2_3,0.75434583
0_TIMP1_FGFR2_4,0.73289776
0_TIMP1_FGFR2_5,0.71884733
0_TIMP1_FGFR2_6,0.6612257
0_MMP2_PECAM1_0,0.78240013
0_MMP2_PECAM1_1,0.6933627
0_MMP2_PECAM1_2,0.6933694
0_MMP2_PECAM1_3,0.7707801
0_MMP2_PECAM1_4,0.7515418
0_MMP2_PECAM1_5,0.7697225
0_MMP2_PECAM1_6,0.6591053
0_MMP2_SDC2_0,0.79190844
0_MMP2_SDC2_1,0.65673816
0_MMP2_SDC2_2,0.65674424
0_MMP2_SDC2_3,0.7876034
0_MMP2_SDC2_4,0.7638715
0_MMP2_SDC2_5,0.78702545
0_MMP2_SDC2_6,0.62765795
0_CCL17_CCR4_0,0.5163379
0_CCL17_CCR4_1,0.51398814
0_CCL17_CCR4_2,0.5139887
0_CCL17_CCR4_3,0.51095575
0_CCL17_CCR4_4,0.5519802
0_CCL17_CCR4_5,0.4767975
0_CCL17_CCR4_6,0.5104624
0_CCL17_CCR8_0,0.5123918
0_CCL17_CCR8_1,0.51105696
0_CCL17_CCR8_2,0.51105756
0_CCL17_CCR8_3,0.50698245
0_CCL17_CCR8_4,0.5486019
0_CCL17_CCR8_5,0.47053358
0_CCL17_CCR8_6,0.507541
0_DKK4_LRP6_0,0.52745533
0_DKK4_LRP6_1,0.51839536
