Ligand_symbol,Receptor_symbol,interaction_name,pathway_name,interaction_name_2
LAMA3,ITGAV_ITGB8,LAMA3_ITGAV_ITGB8,LAMININ,LAMA3 - (ITGAV+ITGB8)
LAMA4,ITGAV_ITGB8,LAMA4_ITGAV_ITGB8,LAMININ,LAMA4 - (ITGAV+ITGB8)
LAMA5,ITGAV_ITGB8,LAMA5_ITGAV_ITGB8,LAMININ,LAMA5 - (ITGAV+ITGB8)
LAMB1,ITGAV_ITGB8,LAMB1_ITGAV_ITGB8,LAMININ,LAMB1 - (ITGAV+ITGB8)
LAMB2,ITGAV_ITGB8,LAMB2_ITGAV_ITGB8,LAMININ,LAMB2 - (ITGAV+ITGB8)
LAMB3,ITGAV_ITGB8,LAMB3_ITGAV_ITGB8,LAMININ,LAMB3 - (ITGAV+ITGB8)
LAMC1,ITGAV_ITGB8,LAMC1_ITGAV_ITGB8,LAMININ,LAMC1 - (ITGAV+ITGB8)
LAMC2,ITGAV_ITGB8,LAMC2_ITGAV_ITGB8,LAMININ,LAMC2 - (ITGAV+ITGB8)
LAMC3,ITGAV_ITGB8,LAMC3_ITGAV_ITGB8,LAMININ,LAMC3 - (ITGAV+ITGB8)
COL1A1,ITGAV_ITGB8,COL1A1_ITGAV_ITGB8,COLLAGEN,COL1A1 - (ITGAV+ITGB8)
COL1A2,ITGAV_ITGB8,COL1A2_ITGAV_ITGB8,COLLAGEN,COL1A2 - (ITGAV+ITGB8)
COL2A1,ITGAV_ITGB8,COL2A1_ITGAV_ITGB8,COLLAGEN,COL2A1 - (ITGAV+ITGB8)
COL4A1,ITGAV_ITGB8,COL4A1_ITGAV_ITGB8,COLLAGEN,COL4A1 - (ITGAV+ITGB8)
COL4A2,ITGAV_ITGB8,COL4A2_ITGAV_ITGB8,COLLAGEN,COL4A2 - (ITGAV+ITGB8)
COL4A3,ITGAV_ITGB8,COL4A3_ITGAV_ITGB8,COLLAGEN,COL4A3 - (ITGAV+ITGB8)
COL4A4,ITGAV_ITGB8,COL4A4_ITGAV_ITGB8,COLLAGEN,COL4A4 - (ITGAV+ITGB8)
COL4A5,ITGAV_ITGB8,COL4A5_ITGAV_ITGB8,COLLAGEN,COL4A5 - (ITGAV+ITGB8)
COL4A6,ITGAV_ITGB8,COL4A6_ITGAV_ITGB8,COLLAGEN,COL4A6 - (ITGAV+ITGB8)
COL6A1,ITGAV_ITGB8,COL6A1_ITGAV_ITGB8,COLLAGEN,COL6A1 - (ITGAV+ITGB8)
COL6A2,ITGAV_ITGB8,COL6A2_ITGAV_ITGB8,COLLAGEN,COL6A2 - (ITGAV+ITGB8)
COL6A3,ITGAV_ITGB8,COL6A3_ITGAV_ITGB8,COLLAGEN,COL6A3 - (ITGAV+ITGB8)
COL6A5,ITGAV_ITGB8,COL6A5_ITGAV_ITGB8,COLLAGEN,COL6A5 - (ITGAV+ITGB8)
COL6A6,ITGAV_ITGB8,COL6A6_ITGAV_ITGB8,COLLAGEN,COL6A6 - (ITGAV+ITGB8)
COL9A1,ITGAV_ITGB8,COL9A1_ITGAV_ITGB8,COLLAGEN,COL9A1 - (ITGAV+ITGB8)
COL9A2,ITGAV_ITGB8,COL9A2_ITGAV_ITGB8,COLLAGEN,COL9A2 - (ITGAV+ITGB8)
COL9A3,ITGAV_ITGB8,COL9A3_ITGAV_ITGB8,COLLAGEN,COL9A3 - (ITGAV+ITGB8)
LAMA1,ITGA6_ITGB4,LAMA1_ITGA6_ITGB4,LAMININ,LAMA1 - (ITGA6+ITGB4)
LAMA2,ITGA6_ITGB4,LAMA2_ITGA6_ITGB4,LAMININ,LAMA2 - (ITGA6+ITGB4)
LAMA3,ITGA6_ITGB4,LAMA3_ITGA6_ITGB4,LAMININ,LAMA3 - (ITGA6+ITGB4)
LAMA4,ITGA6_ITGB4,LAMA4_ITGA6_ITGB4,LAMININ,LAMA4 - (ITGA6+ITGB4)
LAMA5,ITGA6_ITGB4,LAMA5_ITGA6_ITGB4,LAMININ,LAMA5 - (ITGA6+ITGB4)
LAMB1,ITGA6_ITGB4,LAMB1_ITGA6_ITGB4,LAMININ,LAMB1 - (ITGA6+ITGB4)
LAMB2,ITGA6_ITGB4,LAMB2_ITGA6_ITGB4,LAMININ,LAMB2 - (ITGA6+ITGB4)
LAMB3,ITGA6_ITGB4,LAMB3_ITGA6_ITGB4,LAMININ,LAMB3 - (ITGA6+ITGB4)
LAMC1,ITGA6_ITGB4,LAMC1_ITGA6_ITGB4,LAMININ,LAMC1 - (ITGA6+ITGB4)
LAMC2,ITGA6_ITGB4,LAMC2_ITGA6_ITGB4,LAMININ,LAMC2 - (ITGA6+ITGB4)
LAMC3,ITGA6_ITGB4,LAMC3_ITGA6_ITGB4,LAMININ,LAMC3 - (ITGA6+ITGB4)
FN1,CD44,FN1_CD44,FN1,FN1 - CD44
COL1A1,CD44,COL1A1_CD44,COLLAGEN,COL1A1 - CD44
COL1A2,CD44,COL1A2_CD44,COLLAGEN,COL1A2 - CD44
COL2A1,CD44,COL2A1_CD44,COLLAGEN,COL2A1 - CD44
COL4A1,CD44,COL4A1_CD44,COLLAGEN,COL4A1 - CD44
COL4A2,CD44,COL4A2_CD44,COLLAGEN,COL4A2 - CD44
COL4A3,CD44,COL4A3_CD44,COLLAGEN,COL4A3 - CD44
COL4A4,CD44,COL4A4_CD44,COLLAGEN,COL4A4 - CD44
COL4A5,CD44,COL4A5_CD44,COLLAGEN,COL4A5 - CD44
COL4A6,CD44,COL4A6_CD44,COLLAGEN,COL4A6 - CD44
COL6A1,CD44,COL6A1_CD44,COLLAGEN,COL6A1 - CD44
COL6A2,CD44,COL6A2_CD44,COLLAGEN,COL6A2 - CD44
COL6A3,CD44,COL6A3_CD44,COLLAGEN,COL6A3 - CD44
COL6A5,CD44,COL6A5_CD44,COLLAGEN,COL6A5 - CD44
COL6A6,CD44,COL6A6_CD44,COLLAGEN,COL6A6 - CD44
COL9A1,CD44,COL9A1_CD44,COLLAGEN,COL9A1 - CD44
COL9A2,CD44,COL9A2_CD44,COLLAGEN,COL9A2 - CD44
COL9A3,CD44,COL9A3_CD44,COLLAGEN,COL9A3 - CD44
LAMA1,CD44,LAMA1_CD44,LAMININ,LAMA1 - CD44
LAMA2,CD44,LAMA2_CD44,LAMININ,LAMA2 - CD44
LAMA3,CD44,LAMA3_CD44,LAMININ,LAMA3 - CD44
LAMA4,CD44,LAMA4_CD44,LAMININ,LAMA4 - CD44
LAMA5,CD44,LAMA5_CD44,LAMININ,LAMA5 - CD44
LAMB1,CD44,LAMB1_CD44,LAMININ,LAMB1 - CD44
LAMB2,CD44,LAMB2_CD44,LAMININ,LAMB2 - CD44
LAMB3,CD44,LAMB3_CD44,LAMININ,LAMB3 - CD44
LAMC1,CD44,LAMC1_CD44,LAMININ,LAMC1 - CD44
LAMC2,CD44,LAMC2_CD44,LAMININ,LAMC2 - CD44
LAMC3,CD44,LAMC3_CD44,LAMININ,LAMC3 - CD44
COL1A1,SDC1,COL1A1_SDC1,COLLAGEN,COL1A1 - SDC1
COL1A2,SDC1,COL1A2_SDC1,COLLAGEN,COL1A2 - SDC1
COL2A1,SDC1,COL2A1_SDC1,COLLAGEN,COL2A1 - SDC1
COL4A1,SDC1,COL4A1_SDC1,COLLAGEN,COL4A1 - SDC1
COL4A2,SDC1,COL4A2_SDC1,COLLAGEN,COL4A2 - SDC1
COL4A3,SDC1,COL4A3_SDC1,COLLAGEN,COL4A3 - SDC1
COL4A4,SDC1,COL4A4_SDC1,COLLAGEN,COL4A4 - SDC1
COL4A5,SDC1,COL4A5_SDC1,COLLAGEN,COL4A5 - SDC1
COL4A6,SDC1,COL4A6_SDC1,COLLAGEN,COL4A6 - SDC1
COL6A1,SDC1,COL6A1_SDC1,COLLAGEN,COL6A1 - SDC1
COL6A2,SDC1,COL6A2_SDC1,COLLAGEN,COL6A2 - SDC1
COL6A3,SDC1,COL6A3_SDC1,COLLAGEN,COL6A3 - SDC1
COL6A5,SDC1,COL6A5_SDC1,COLLAGEN,COL6A5 - SDC1
COL6A6,SDC1,COL6A6_SDC1,COLLAGEN,COL6A6 - SDC1
COL9A1,SDC1,COL9A1_SDC1,COLLAGEN,COL9A1 - SDC1
